id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,epoch_construction,roof_shape,roof_material,image_quality,taxonomy,image filename or link
1108.0,38.69526648400488,-9.212886923017903,Portugal,Lisbon,CR,LFINF,CDN,3,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,CR/LFINF/CDN/H:3/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69526648,-9.21288692&heading=317.32675717872826&pitch=5&fov=120"
1109.0,38.70322345,-9.20267045,Portugal,Lisbon,CR,LFINF,CDL,5,RES,BP1,Select Epoch of Construction,RSH1,RMN,,CR/LFINF/CDL/H:5/BP1/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70322345,-9.20267045&heading=78.15056679892768&pitch=5&fov=120"
1110.0,38.70110883758824,-9.204212273875733,Portugal,Lisbon,CR,LFM,CDM,3,RES,BP1,Select Epoch of Construction,RSH1,RMN,,CR/LFM/CDM/H:3/BP1/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70110884,-9.20421227&heading=351.407925063282&pitch=5&fov=120"
1111.0,38.70044373150463,-9.220808349621798,Portugal,Lisbon,MUR,LWAL,CDN,2,RES,BPD,Select Epoch of Construction,RSH3,RMT1,,MUR/LWAL/CDN/H:2/BPD/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70044373,-9.22080835&heading=300.79795625367456&pitch=5&fov=120"
1113.0,38.698034188452496,-9.192780529848458,Portugal,Lisbon,MCF,LWAL,CDL,2,RES,BP1,Select Epoch of Construction,RSH2,RMT1,,MCF/LWAL/CDL/H:2/BP1/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69803419,-9.19278053&heading=186.19641014639592&pitch=5&fov=120"
1115.0,38.70446559729068,-9.202754238641289,Portugal,Lisbon,MCF,LWAL,CDN,2,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MCF/LWAL/CDN/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.7044656,-9.20275424&heading=328.9489830427626&pitch=5&fov=120"
1116.0,38.69965714174575,-9.217462167495142,Portugal,Lisbon,MCF,LWAL,CDN,2,RES,BPD,Select Epoch of Construction,RSH2,RMT1,,MCF/LWAL/CDN/H:2/BPD/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69965714,-9.21746217&heading=19.263662543360397&pitch=5&fov=120"
1117.0,38.69849368512401,-9.219618450477943,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MUR/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69849369,-9.21961845&heading=289.48998540115133&pitch=5&fov=120"
1118.0,38.69706832484063,-9.211018645020236,Portugal,Lisbon,CR,LFM,CDM,3,RES,BPD,Select Epoch of Construction,RSH2,RMT1,,CR/LFM/CDM/H:3/BPD/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69706832,-9.21101865&heading=311.9689792384826&pitch=5&fov=120"
1119.0,38.70445914064397,-9.20260348091782,Portugal,Lisbon,CR,LFM,CDM,5,RES,BP1,Select Epoch of Construction,RSH1,RMN,,CR/LFM/CDM/H:5/BP1/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70445914,-9.20260348&heading=328.94907731577416&pitch=5&fov=120"
1120.0,38.698514898063486,-9.225546975039796,Portugal,Lisbon,CR,LFINF,CDL,4,MIX(RES;COM),BP2,Select Epoch of Construction,RSH2,RMT1,,CR/LFINF/CDL/H:4/BP2/RSH2+RMT1/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.6985149,-9.22554698&heading=241.09229701149593&pitch=5&fov=120"
1121.0,38.69825899031972,-9.191587691582631,Portugal,Lisbon,CR,LFINF,CDL,3,RES,BP2,Select Epoch of Construction,RSH1,RMN,,CR/LFINF/CDL/H:3/BP2/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69825899,-9.19158769&heading=204.21661553105685&pitch=5&fov=120"
1122.0,38.701747814311695,-9.204481585881917,Portugal,Lisbon,CR,LFM,CDL,6.0-7.0,RES,BP1,Select Epoch of Construction,RSH1,RMN,,CR/LFM/CDL/H:6-7/BP1/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70174781,-9.20448159&heading=313.0518702970128&pitch=5&fov=120"
1125.0,38.69728637302666,-9.21571481247819,Portugal,Lisbon,MCF,LWAL,CDL,2,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MCF/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69728637,-9.21571481&heading=80.410414175796&pitch=5&fov=120"
1127.0,38.69716164752463,-9.215616180191342,Portugal,Lisbon,MCF,LWAL,CDL,2,RES,BP2,Select Epoch of Construction,RSH3,RMT1,,MCF/LWAL/CDL/H:2/BP2/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69716165,-9.21561618&heading=257.40606668319845&pitch=5&fov=120"
1129.0,38.69625968253965,-9.191938040672408,Portugal,Lisbon,S,LFINF,CDH,2,COM,BPD,Select Epoch of Construction,RSH1,RMT6,,S/LFINF/CDH/H:2/BPD/RSH1+RMT6/COM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69625968,-9.19193804&heading=138.40407778403204&pitch=5&fov=120"
1130.0,38.69718112298923,-9.203008415133542,Portugal,Lisbon,MCF,LWAL,CDN,3,MIX(RES;COM),BP2,Select Epoch of Construction,RSH2,RMT1,,MCF/LWAL/CDN/H:3/BP2/RSH2+RMT1/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69718112,-9.20300842&heading=155.83392301822892&pitch=5&fov=120"
