id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,roof_shape,roof_material,taxonomy,image filename or link
e47d63ba-6103-4ea4-9b3a-4a43f4fc78d8,38.71144512,-9.199931493,Portugal,Lisbon,CR,LFM,CDH,1,COM,BP1,RSH1,RMN,,
cc7a78b5-6c25-404e-8ac5-9cbd7f0d3a98,38.70625565,-9.20375365,Portugal,Lisbon,HYB(MCF;MUR),LFM,CDN,5,RES,BP1,RSH1,RMN,,
0e85394e-f3c6-43f8-8273-73db27fb9550,38.70329153,-9.216720248,,,,,,,,,,,,
82059a2b-9cef-4520-b2e2-c55ddcc08eb5,38.71572828,-9.217313223,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP1,RSH1,RMN,,
0d656444-840b-4ea5-a766-0fecf74d6f81,38.69987297,-9.216991564,Portugal,Lisbon,MUR,LWAL,CDN,2,RES,BP3,RSH1,RMN,,
8473b5b3-7902-409e-b6b1-f388b860c40f,38.7090848,-9.19009015,,,,,,,,,,,,
89656654-b164-453a-8aa5-12105755372b,38.70457473,-9.216152297,,,,,,,,,,,,
8b715f59-6212-4e97-9c55-432439914bb3,38.70832278,-9.212653055,Portugal,Lisbon,CR,LDUAL,CDH,1,COM,BPD,RSH1,RMN,,
b97c8df6-6977-4df3-9f38-8bb184dd3ef1,38.69752168,-9.192683235,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BPD,RSH2,RMT1,,
0f3ed62a-4873-4866-833c-01206e75ab3f,38.70039608,-9.203330749,Portugal,Lisbon,MUR,LWAL,CDN,1,RES,BP1,RSH2,RMT1,,
9708d360-3163-40a7-a070-a4b65ec68b0e,38.69611137,-9.221608837,,,,,,,,,,,,
f3802fa8-76bb-4f6b-8b32-9a66ad75d95e,38.70615318,-9.212908505,,,,,,,,,,,,
c8e9a089-21fe-450c-87a9-f94a888438c6,38.70977041,-9.199606257,Portugal,Lisbon,MCF,LWAL,CDH,2,RES,BPD,RSH2,RMT1,,
8d4895e5-475b-455e-bf17-ab7fc056fedf,38.71135743,-9.200242737,Portugal,Lisbon,MUR,LWAL,CDL,1,RES,BP2,RSH2,RMT1,,
99f254a7-1271-4f6b-8331-994fec2f4ff1,38.70614196,-9.17950871,Portugal,Lisbon,MUR,LWAL,CDL,4,RES,BP2,RSH1,RMN,,
67bc2c98-a559-48e9-bad4-9537d2d4a2b7,38.70227417,-9.189696838,,,,,,,,,,,,
dc098a5a-8181-4c79-8f17-65802a1541d9,38.70147035,-9.204002883,Portugal,Lisbon,MUR,LWAL,CDL,4,RES,BP1,RSH2,RMT1,,
d44418d3-2104-4287-97a7-dc0cd2bdf123,38.70146091,-9.211482873,,,,,,,,,,,,
b1684dd2-61f4-4644-ba36-abd320241bcc,38.71163097,-9.193083948,Portugal,Lisbon,CR,LFINF,CDL,5,RES,BP1,RSH1,RMN,,
185d482a-193d-4942-a4d1-e9323af1e222,38.70407396,-9.203420503,Portugal,Lisbon,CR,LFINF,CDL,2,MIX(RES;COM),BP2,RSH3,RMT1,,
028740cd-cba0-4c30-b6d0-5237dcd75734,38.70296851,-9.196287984,Portugal,Lisbon,MUR,LWAL,CDL,4,MIX(RES;COM),BP1,RSH1,RMN,,
32faa57d-bb1e-4584-b10e-dab4226acd5d,38.70248685,-9.181157252,Portugal,Lisbon,HYB(MCF;MUR),LFM,CDL,06/jul,MIX(RES;COM),BP1,RSH1,RMN,,
c8a4e9cf-5831-455c-81e2-26a57e7cbc0c,38.70844912,-9.18398712,,,,,,,,,,,,
